total_pnl,n_fills,n_adverse,afr,abstentions,episode,agent
-28.826627659809308,10,0,0.0,1990,139,PPO
-37.03781878948357,10,0,0.0,1990,140,PPO
-27.076231896893294,10,0,0.0,1990,141,PPO
-37.21743402481807,10,0,0.0,1990,142,PPO
-27.18170400858944,10,0,0.0,1990,143,PPO
-25.46718750001455,10,0,0.0,1990,144,PPO
-34.87279139758321,10,0,0.0,1990,145,PPO
-21.3184662699874,10,0,0.0,1990,146,PPO
-39.031888771068765,10,0,0.0,1990,147,PPO
-34.197105789202034,10,0,0.0,1990,148,PPO
-29.66870893240557,10,0,0.0,1990,149,PPO
-18.940393722071896,10,0,0.0,1990,150,PPO
-28.295444297802167,10,0,0.0,1990,151,PPO
-27.12356679439981,10,0,0.0,1990,152,PPO
-34.15837385656196,10,0,0.0,1990,153,PPO
-28.259356200703767,10,0,0.0,1990,154,PPO
-42.4024327993553,10,0,0.0,1990,155,PPO
-27.39327361584728,10,0,0.0,1990,156,PPO
-32.18023689986294,10,0,0.0,1990,157,PPO
-36.25932979584613,10,0,0.0,1990,158,PPO
-30.793402934091862,10,0,0.0,1990,159,PPO
-31.50530513526755,10,0,0.0,1990,160,PPO
-31.493093109138133,10,0,0.0,1990,161,PPO
-19.047871828087956,10,0,0.0,1990,162,PPO
-35.153699731841336,10,0,0.0,1990,163,PPO
-27.214509069935595,10,0,0.0,1990,164,PPO
-22.67507678271213,10,0,0.0,1990,165,PPO
-45.07344168426207,10,0,0.0,1990,166,PPO
-25.199847078337918,10,0,0.0,1990,167,PPO
-27.99025958777347,10,0,0.0,1990,168,PPO
-29.37832680942083,10,0,0.0,1990,169,PPO
-15.059095084683214,10,0,0.0,1990,170,PPO
-31.316044712076835,10,0,0.0,1990,171,PPO
-26.85183141232992,10,0,0.0,1990,172,PPO
-24.15544226170605,10,0,0.0,1990,173,PPO
-35.15320978166128,10,0,0.0,1990,174,PPO
-34.02482541800564,10,0,0.0,1990,175,PPO
-30.170312500014553,10,0,0.0,1990,176,PPO
-24.280668354048974,10,0,0.0,1990,177,PPO
-24.925743103036076,10,0,0.0,1990,178,PPO
-20.664637863652022,10,0,0.0,1990,179,PPO
-28.133415842073735,10,0,0.0,1990,180,PPO
-23.39612653256481,10,0,0.0,1990,181,PPO
-33.62664521933911,10,0,0.0,1990,182,PPO
-22.78247406483715,10,0,0.0,1990,183,PPO
-22.750772857676203,10,0,0.0,1990,184,PPO
-41.37922658921307,10,0,0.0,1990,185,PPO
-23.56428774596279,10,0,0.0,1990,186,PPO
-28.4682204127399,10,0,0.0,1990,187,PPO
-28.5075506210429,10,0,0.0,1990,188,PPO
-26.45418066978309,10,0,0.0,1990,189,PPO
-30.515915036210206,10,0,0.0,1990,190,PPO
-28.631629002100087,10,0,0.0,1990,191,PPO
-24.203622496135356,10,0,0.0,1990,192,PPO
-25.22488100530027,10,0,0.0,1990,193,PPO
-23.88527350426884,10,0,0.0,1990,194,PPO
-34.175281882294804,10,0,0.0,1990,195,PPO
-30.87873482705036,10,0,0.0,1990,196,PPO
-35.41744267940667,10,0,0.0,1990,197,PPO
-32.38836998940823,10,0,0.0,1990,198,PPO
-38.093209147469324,10,0,0.0,1990,199,PPO
-26.692126488685606,10,0,0.0,1990,200,PPO
